bucket,pkts,bytes
18231,33119,48796974
18282,3,3894
18312,67,14147
18319,636,69595
18341,1,1298
18349,45,11231
18371,1848,2648282
18399,5,6490
18412,30579,45115436
18416,4278,6237276
18423,3249,4707948
18441,3422,4975542
18447,105,16925
18452,1,1298
18454,90,15537
18494,424,48561
18516,3,3894
18523,3240,4698551
18539,3,3894
18596,18,16792
18597,107,17389
18600,1,1298
18656,1675,2425956
18693,5497,7892141
18702,3,3894
18717,2091,2947877
18740,3,3894
18764,48680,71874554
18768,3,2714
18774,3,3894
18780,3,3894
18814,177,23713
18815,1144,1622354
18822,3,3894
18830,1,1298
18841,44,11341
18842,3,3894
18881,3,3894
18905,1,1298
18937,3,3894
18951,697,78221
18959,2661,3778759
18989,3,3894
19007,3,2714
19008,1,1298
19012,39316,58036608
19037,621,70542
19047,54,12332
19061,1,1298
19062,376,44783
19077,350,40403
19084,3,3894
19101,2368,3353206
19103,1,1298
19131,1,1298
19136,1149,1657060
19143,1,1298
19156,1,1298
19191,3264,4762528
19197,1,1298
19237,3,3894
19272,1,1298
19287,1,1298
19305,7,9086
19317,1,1298
19396,86,15933
19425,1046,1476899
19436,3,3894
19445,3,3894
19448,481,54312
19517,3,2714
19518,3,3894
19528,21109,31083265
19550,2165,3105022
19562,2674,3907164
19564,3,3894
19575,10,2524
19586,9785,14193162
19591,529,61580
19592,15313,22545532
19598,3,3894
19610,3,3894
19619,14086,20369189
19621,11206,16467427
19675,1167,1670104
19690,1,1298
19692,1,1298
19701,2638,3772911
19704,673,74970
19734,85,14909
19736,1,1298
19739,1,1298
19760,1086,1540136
19771,343,40702
19802,1,1298
19806,3,3894
19861,38,9321
19869,43264,63766979
19880,1,1298
19883,515,60143
19896,3,3894
19897,1,1298
19911,1,1298
19940,8,8456
19946,54,12453
19961,41,9707
19969,754,82378
19977,3,3894
19989,31,9917
20000,376,42704
20021,18,2497
20024,3,2714
20041,366,43054
20080,1,1298
20097,1,1298
20103,35415,52223291
20164,59,12767
20169,298,35792
20171,18,3939
20182,524,60039
20190,584,72636
20212,95,14949
20232,453,51261
20237,1,1298
20238,52,15607
20269,1,1298
20277,3,2714
20285,12,2828
20286,74,9609
20290,18,16824
20317,722,79955
20334,397,48858
20358,18,16780
20403,19522,28748328
20411,3,3894
20417,880,1234869
20446,1,1298
20447,1,1298
20454,139,19455
20467,1,1298
20480,2014,2902919
20482,1,1298
20483,1,1298
20498,38,10662
20505,1,1298
20573,16,2230
20580,8,8464
20611,1124,119794
20689,76,14244
20691,482,56616
20697,1215,1716281
20705,72,13781
20711,43,11036
20715,3,2714
20727,1188,1634896
20771,3,2714
20811,48,11649
20827,3,3894
20844,4732,6922267
